oaCode,totalPopulation,totalHouseholds,personsPerHousehold
11240770010604,476,167,2.9
11240770010605,555,192,2.9
11240770010606,531,165,3.2
11240770010607,536,181,3
11240770010608,489,166,2.9
11240770010609,371,125,3
11240770010610,539,166,3.2
11240770010611,624,209,3
11240770010612,640,222,2.9
11240770010613,484,159,3
11240770010614,608,207,2.9
11240770010615,657,234,2.8
11240770010616,433,152,2.8
11240770010617,393,139,2.8
11240770010618,484,179,2.7
11240770010619,452,166,2.7
11240770010701,898,326,2.8
11240770010801,651,224,2.9
11240770010901,939,467,2
11240770011001,698,251,2.8
11240770011101,343,114,3
11240780010001,0,0,0
11240780010101,471,171,2.8
11240780010102,445,176,2.5
11240780010103,577,206,2.8
11240780010104,528,214,2.5
11240780010105,459,171,2.7
11240780010106,492,171,2.9
11240780010107,609,230,2.6
11240780010201,473,168,2.8
11240780010202,543,192,2.8
11240780010203,540,200,2.7
11240780010204,565,227,2.5
11240780010205,532,189,2.8
11240780010206,440,158,2.8
11240780010207,477,173,2.8
11240780010208,422,147,2.9
11240780010209,502,178,2.8
11240780010210,466,163,2.9
11240790010001,0,0,0
11240790010101,412,131,3.1
11240790010102,350,105,3.3
11240790010103,611,192,3.2
11240790010104,627,206,3
11240790010105,659,202,3.3
11240790010106,574,295,1.9
11240790010107,493,157,3.1
11240790010108,527,161,3.3
11240790010109,475,153,3.1
11240790010110,370,113,3.3
11240790010111,408,128,3.2
11240790010112,637,210,3
11240790010113,586,389,1.5
11240790010114,603,187,3.2
11240790010115,505,155,3.3
11240790010116,432,126,3.4
